STATE,Confirmed,Admission,Discharged,Deaths,LAT,LON
Lagos,11367, 9559, 	1676, 	132,	6.45306,	3.39583
FCT, 	2281, 	1583, 	663, 	35,	50.410461,	11.0421
Oyo, 	1530, 	702, 	809, 	19,	8.189686,	3.549808
Edo, 	1435,	545,	840, 	50,	6.738501,	6.155861
Delta, 	1285, 	853, 	407, 	25,	5.5,	6
Kano, 	1268, 	187, 	1029, 	52,	11.695973,	8.60935
Rivers, 1205, 	370,	794, 	41,	4.867782,	6.860983
Ogun,	1047, 	385, 	641, 	21,	6.971633,	3.463354
Kaduna, 868, 	277, 	579, 	12,	10.510954,	7.79833
Katsina, 628, 	164, 	441, 	23,	12.665138,	7.55224
Borno, 	547, 	68, 	446, 	33,	11.96578,	13.25399
Gombe, 	520, 	122, 	377, 	21,	10.410092,	11.1902
Bauchi, 516, 	29, 	475, 	12,	10.368375,	9.96818
Ebonyi, 503, 	131, 	369, 	3,	6.271445,	8.01852
Ondo,	474, 	330, 	124, 	20,	7.062588,	5.000713
Plateau, 454, 	221, 	219, 	14,	8.953321,	9.612067
Abia, 	391, 	170, 	218, 	3,	5.65467,	7.594985
Enugu, 	381, 	136, 	235, 	10,	6.506872,	7.40602
Imo, 	352, 	296, 	50, 	6,	5.57541,	7.098545
Jigawa, 318, 	0, 	308, 	10,	12.35351,	9.650146
Kwara, 	284, 	114, 	161, 	9,	8.604643,	4.8472
Bayelsa, 268, 	125, 	127, 	16,	4.726199,	6.059843
Nasarawa, 232, 	111, 	113, 	8,	8.51413,	8.061349
Osun, 	178,	112, 	59, 	7,	7.541105,	4.511142
Sokoto, 153, 	12, 	125, 	16,	13.149238,	5.29863
Niger, 	122, 	40, 	75, 	7,	9.847714,	5.557986
Akwa Ibom, 112, 38, 	71, 	3,	4.893818,	7.818119
Adamawa, 99, 	21, 	71, 	7,	9.372495,	12.28516
Benue,	97, 	59, 	33, 	5,	7.418101,	8.762319
Kebbi, 	84, 	19, 	58, 	7,	12.07852,	4.100179
Zamfara, 76, 	0, 	71, 	5,	12.090327,	6.32559
Anambra, 73, 	7, 	57, 	9,	6.46797,	6.776785
Yobe, 	61, 	2, 	51, 	8,	12.271327,	11.5267
Ekiti, 	45, 	3, 	40, 	2,	7.66667,	5.25
Taraba, 22, 	12, 	10, 	0,	7.966148,	10.54459
Kogi, 	5, 	0, 	3, 	2,	7.811966,	6.566905
Cross River, 5, 1, 	3, 	1,	5.574595,	8.39357
